Code,Actual,Predicted
GUNA,3,3
GOLF,2,2
LABS,3,3
ISEA,1,1
PART,2,2
BLES,1,1
SPRE,2,2
BATR,2,2
SOLA,1,1
DATA,3,0
MHKI,3,3
ATLA,3,3
AREA,0,0
VISI,2,2
LIVE,2,2
BAIK,0,2
HYGN,2,0
MKAP,3,3
MEJA,0,2
ALII,1,0
MPIX,2,2
TOSK,0,0
UNTD,0,0
SMGA,2,2
GRPH,2,0
MSJA,1,1
NICE,1,1
ACRO,2,2
SMLE,1,1
CGAS,1,2
MANG,0,0
ASLI,0,0
SURI,0,0
AYAM,2,2
MSTI,0,0
IKPM,2,2
RGAS,0,0
UDNG,2,2
LOPI,0,0
PTPS,0,0
KOKA,2,2
BREN,1,1
IOTF,0,3
KOCI,0,0
STRK,3,3
AEGS,0,2
BABY,0,0
RSCH,2,2
LMAX,2,2
GRIA,0,0
FOLK,0,0
PPRI,0,0
CYBR,3,3
HUMI,0,0
MSIE,0,0
ERAL,0,0
HBAT,0,0
MUTU,2,2
CNMA,2,2
RMKO,2,2
MAHA,3,3
INET,3,3
TGUK,2,2
CRSN,0,0
WIDI,2,2
GRPM,0,0
AMMN,0,2
VKTR,2,3
RELF,2,2
KLAS,2,2
MAXI,0,0
MPXL,2,2
JATI,3,3
RAAM,1,1
DOOH,2,2
TYRE,2,2
SMIL,3,2
AWAN,3,3
MENN,0,0
PIPA,3,3
NCKL,2,2
GTRA,1,1
HAJJ,2,2
NSSS,0,0
CUAN,1,1
SAGE,1,1
TRON,1,1
PTMP,2,2
BDKR,2,2
FUTR,1,1
PGEO,0,0
KING,0,0
CHIP,2,2
HALO,2,2
VAST,2,2
HILL,2,2
PACK,0,0
IRSX,0,0
FWCT,2,2
NAYZ,0,0
PEVE,1,0
LAJU,2,2
BMBL,0,0
CBPE,0,0
SOUL,0,0
SUNI,2,2
WINE,3,3
ELIT,1,1
BEER,2,2
CBRE,3,3
VTNY,0,0
PADA,2,3
MMIX,2,2
ISAP,0,2
BELI,0,0
KETR,0,0
ZATA,3,3
KDTN,2,2
NINE,0,0
MKTR,2,2
PRAY,0,0
CBUT,2,2
PDPP,0,0
BSBK,3,3
OMED,2,2
COAL,3,3
MEDS,1,1
BUAH,2,2
EURO,0,0
CRAB,1,1
KLIN,0,0
KKES,2,2
TOOL,2,2
RAFI,2,2
ELPI,1,1
JARR,1,1
RCCC,0,0
AMMS,0,0
KRYA,0,0
AXIO,1,1
HATM,2,2
DEWI,3,3
GULA,0,2
CHEM,0,0
TRGU,1,1
SWID,0,0
ASHA,3,3
OLIV,0,0
IBOS,2,2
WINR,3,3
MTMH,2,2
TLDN,0,0
GOTO,2,0
SICO,0,0
WIRG,3,3
BIKE,1,2
STAA,1,1
NANO,2,2
SMKM,0,0
NTBK,2,2
ENAK,0,0
BAUT,3,3
ASLC,2,2
NETV,3,3
SEMA,1,1
ADMR,3,0
IPPE,3,3
DRMA,0,0
OBMD,0,1
NASI,1,1
BSML,2,2
AVIA,0,0
CMRY,2,2
RMKE,0,0
WMPP,0,0
WGSH,2,2
DEPO,2,2
TAYS,0,0
BINO,2,2
