Code,Actual,Predicted
GUNA,2,2
GOLF,2,2
LABS,2,2
ISEA,0,0
PART,2,2
BLES,2,2
SPRE,1,1
BATR,2,2
SOLA,2,2
DATA,2,2
MHKI,2,2
ATLA,2,2
AREA,2,2
VISI,2,2
LIVE,2,2
BAIK,0,0
HYGN,2,2
MKAP,2,2
MEJA,1,1
ALII,0,0
MPIX,0,0
TOSK,2,2
UNTD,1,1
SMGA,2,2
GRPH,2,2
MSJA,0,0
NICE,0,0
ACRO,2,2
SMLE,2,2
CGAS,0,0
MANG,1,3
ASLI,2,2
SURI,1,2
AYAM,2,2
MSTI,0,0
IKPM,2,2
RGAS,0,2
UDNG,1,1
LOPI,3,3
PTPS,2,2
KOKA,2,2
BREN,0,0
IOTF,2,2
KOCI,0,2
STRK,2,2
AEGS,1,1
BABY,0,0
RSCH,2,2
LMAX,1,1
GRIA,1,2
FOLK,2,2
PPRI,2,2
CYBR,2,2
HUMI,0,2
MSIE,3,3
ERAL,0,0
HBAT,1,1
MUTU,2,2
CNMA,0,0
RMKO,0,0
MAHA,2,2
INET,2,2
TGUK,2,2
CRSN,2,2
WIDI,1,1
GRPM,3,3
AMMN,1,1
VKTR,2,2
RELF,1,1
KLAS,2,2
MAXI,3,2
MPXL,2,2
JATI,2,2
RAAM,0,0
DOOH,2,2
TYRE,2,2
SMIL,2,2
AWAN,2,2
MENN,1,1
PIPA,2,2
NCKL,1,1
GTRA,2,2
HAJJ,1,3
NSSS,1,2
CUAN,0,0
SAGE,2,2
TRON,2,2
PTMP,0,2
BDKR,2,2
FUTR,1,2
PGEO,1,1
KING,3,3
CHIP,1,1
HALO,2,2
VAST,2,2
HILL,1,0
PACK,3,3
IRSX,2,2
FWCT,2,2
NAYZ,3,3
PEVE,2,2
LAJU,2,2
BMBL,3,3
CBPE,2,2
SOUL,3,3
SUNI,1,1
WINE,2,2
ELIT,2,2
BEER,0,0
CBRE,2,2
VTNY,0,0
PADA,2,2
MMIX,2,2
ISAP,1,1
BELI,1,0
KETR,0,0
ZATA,2,2
KDTN,2,2
NINE,1,1
MKTR,0,2
PRAY,0,0
CBUT,0,0
PDPP,1,2
BSBK,2,2
OMED,0,0
COAL,2,2
MEDS,2,2
BUAH,0,0
EURO,1,1
CRAB,2,2
KLIN,3,3
KKES,2,2
TOOL,2,2
RAFI,2,2
ELPI,2,2
JARR,0,0
RCCC,1,1
AMMS,1,1
KRYA,3,2
AXIO,2,2
HATM,2,2
DEWI,2,2
GULA,0,0
CHEM,0,2
TRGU,0,0
SWID,2,2
ASHA,2,2
OLIV,1,1
IBOS,1,1
WINR,2,2
MTMH,0,0
TLDN,0,0
GOTO,0,1
SICO,0,0
WIRG,2,2
BIKE,2,2
STAA,0,0
NANO,1,1
SMKM,1,1
NTBK,2,2
ENAK,1,1
BAUT,2,2
ASLC,0,0
NETV,2,2
SEMA,2,2
ADMR,2,2
IPPE,2,2
DRMA,1,1
OBMD,1,2
NASI,2,2
BSML,2,2
AVIA,1,1
CMRY,1,1
RMKE,3,0
WMPP,3,2
WGSH,1,1
DEPO,0,0
TAYS,1,1
BINO,2,2
