Code,Actual,Predicted
GUNA,1,1
GOLF,1,1
LABS,1,1
ISEA,4,4
PART,1,1
BLES,1,1
SPRE,2,2
BATR,1,1
SOLA,1,1
DATA,1,1
MHKI,1,1
ATLA,1,1
AREA,6,1
VISI,1,1
LIVE,1,1
BAIK,4,4
HYGN,1,1
MKAP,1,1
MEJA,2,2
ALII,4,4
MPIX,4,4
TOSK,1,1
UNTD,3,3
SMGA,1,1
GRPH,6,1
MSJA,4,4
NICE,4,4
ACRO,1,1
SMLE,1,1
CGAS,4,4
MANG,2,0
ASLI,1,1
SURI,2,1
AYAM,1,1
MSTI,4,4
IKPM,1,1
RGAS,4,1
UDNG,2,2
LOPI,5,5
PTPS,6,1
KOKA,1,1
BREN,4,4
IOTF,1,1
KOCI,3,1
STRK,1,1
AEGS,7,2
BABY,4,4
RSCH,1,1
LMAX,2,2
GRIA,3,1
FOLK,1,1
PPRI,1,1
CYBR,1,1
HUMI,3,1
MSIE,5,5
ERAL,4,4
HBAT,2,2
MUTU,1,1
CNMA,3,3
RMKO,4,4
MAHA,1,1
INET,1,1
TGUK,1,1
CRSN,1,1
WIDI,2,2
GRPM,5,0
AMMN,7,7
VKTR,1,1
RELF,2,2
KLAS,1,1
MAXI,5,1
MPXL,1,1
JATI,1,1
RAAM,4,4
DOOH,6,1
TYRE,1,1
SMIL,1,1
AWAN,1,1
MENN,2,2
PIPA,1,1
NCKL,2,2
GTRA,1,1
HAJJ,2,0
NSSS,2,1
CUAN,4,4
SAGE,1,1
TRON,6,1
PTMP,3,1
BDKR,1,1
FUTR,7,1
PGEO,7,7
KING,0,0
CHIP,2,2
HALO,1,1
VAST,6,1
HILL,2,4
PACK,0,0
IRSX,1,1
FWCT,1,1
NAYZ,0,0
PEVE,1,1
LAJU,1,1
BMBL,0,0
CBPE,1,1
SOUL,0,0
SUNI,3,4
WINE,1,1
ELIT,1,1
BEER,4,4
CBRE,1,1
VTNY,4,4
PADA,1,1
MMIX,1,1
ISAP,7,2
BELI,7,2
KETR,4,4
ZATA,1,1
KDTN,1,1
NINE,2,2
MKTR,4,1
PRAY,4,4
CBUT,4,4
PDPP,2,1
BSBK,1,1
OMED,4,4
COAL,1,1
MEDS,1,1
BUAH,4,4
EURO,2,2
CRAB,1,1
KLIN,5,5
KKES,6,1
TOOL,1,1
RAFI,1,1
ELPI,1,1
JARR,4,4
RCCC,7,7
AMMS,2,2
KRYA,5,1
AXIO,1,1
HATM,6,1
DEWI,1,1
GULA,4,4
CHEM,4,1
TRGU,4,4
SWID,1,1
ASHA,1,1
OLIV,2,2
IBOS,2,2
WINR,1,1
MTMH,4,4
TLDN,3,3
GOTO,4,2
SICO,4,4
WIRG,1,1
BIKE,1,1
STAA,4,4
NANO,2,2
SMKM,2,2
NTBK,1,1
ENAK,7,7
BAUT,1,1
ASLC,4,4
NETV,1,1
SEMA,1,1
ADMR,1,1
IPPE,1,1
DRMA,2,2
OBMD,2,1
NASI,1,1
BSML,1,1
AVIA,7,7
CMRY,2,2
RMKE,0,4
WMPP,0,1
WGSH,2,2
DEPO,4,4
TAYS,2,4
BINO,1,1
