Code,Actual,Predicted
GUNA,7,7
GOLF,7,7
LABS,7,7
ISEA,5,5
PART,5,5
BLES,7,7
SPRE,2,2
BATR,2,2
SOLA,7,7
DATA,7,7
MHKI,7,7
ATLA,7,7
AREA,2,2
VISI,6,6
LIVE,4,4
BAIK,0,5
HYGN,3,7
MKAP,7,7
MEJA,2,2
ALII,5,5
MPIX,5,5
TOSK,1,1
UNTD,0,0
SMGA,7,7
GRPH,3,7
MSJA,3,3
NICE,4,4
ACRO,7,7
SMLE,7,7
CGAS,5,0
MANG,0,0
ASLI,0,0
SURI,0,0
AYAM,7,7
MSTI,2,2
IKPM,2,2
RGAS,1,1
UDNG,2,2
LOPI,0,0
PTPS,0,0
KOKA,7,7
BREN,5,5
IOTF,7,7
KOCI,0,0
STRK,7,7
AEGS,0,0
BABY,2,2
RSCH,3,3
LMAX,2,2
GRIA,0,0
FOLK,3,3
PPRI,0,0
CYBR,7,7
HUMI,1,1
MSIE,0,0
ERAL,1,1
HBAT,0,0
MUTU,7,7
CNMA,4,4
RMKO,5,5
MAHA,7,7
INET,7,7
TGUK,7,7
CRSN,3,3
WIDI,2,2
GRPM,0,0
AMMN,1,1
VKTR,3,7
RELF,2,0
KLAS,7,7
MAXI,0,0
MPXL,7,7
JATI,7,7
RAAM,5,5
DOOH,1,1
TYRE,7,7
SMIL,7,7
AWAN,7,7
MENN,0,0
PIPA,7,7
NCKL,1,1
GTRA,7,7
HAJJ,2,0
NSSS,2,2
CUAN,5,5
SAGE,7,7
TRON,7,7
PTMP,4,4
BDKR,3,3
FUTR,0,0
PGEO,0,0
KING,0,0
CHIP,2,2
HALO,4,4
VAST,0,0
HILL,2,0
PACK,0,0
IRSX,1,1
FWCT,7,7
NAYZ,0,0
PEVE,7,7
LAJU,7,7
BMBL,0,0
CBPE,0,0
SOUL,0,0
SUNI,0,0
WINE,7,7
ELIT,0,0
BEER,4,4
CBRE,7,7
VTNY,2,2
PADA,2,7
MMIX,7,7
ISAP,0,2
BELI,0,2
KETR,2,2
ZATA,7,7
KDTN,6,6
NINE,0,0
MKTR,2,7
PRAY,0,0
CBUT,5,5
PDPP,2,7
BSBK,7,7
OMED,5,5
COAL,7,7
MEDS,7,7
BUAH,5,5
EURO,0,0
CRAB,7,7
KLIN,0,0
KKES,4,4
TOOL,7,7
RAFI,7,7
ELPI,7,7
JARR,5,5
RCCC,0,0
AMMS,1,1
KRYA,0,0
AXIO,7,7
HATM,1,1
DEWI,7,7
GULA,1,5
CHEM,1,1
TRGU,5,5
SWID,2,2
ASHA,7,7
OLIV,1,1
IBOS,2,2
WINR,7,7
MTMH,5,5
TLDN,2,2
GOTO,3,2
SICO,2,2
WIRG,7,7
BIKE,7,7
STAA,5,5
NANO,2,2
SMKM,0,0
NTBK,7,7
ENAK,0,0
BAUT,7,7
ASLC,5,5
NETV,7,7
SEMA,7,7
ADMR,7,7
IPPE,7,7
DRMA,0,0
OBMD,0,7
NASI,7,7
BSML,7,7
AVIA,0,0
CMRY,2,2
RMKE,0,0
WMPP,0,0
WGSH,2,2
DEPO,5,5
TAYS,0,0
BINO,5,5
