Code,Name,Date,Price,Share,Amount,Warran,Underwriter,Sector,Subsector,Field,Website,Prospectus,Summary_Prospectus,Alamat,Image,Papan Pencatatan
GUNA,PT. Gunanusa Eramandiri Tbk.,09 Jul 2024,Rp150,20%,"5,000,000 lot",0,GR - PANIN SEKURITAS TBK.,Barang Konsumen Primer,Makanan & Minuman,"Industri makanan dari kedele dan kacang-kacangan lainnya bukan kecap, tempe dan tahu",https://www.gunanusaeramandiri.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/GUNA/prospectus/unzr3ugxtl.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/GUNA/summary-prospectus/clcxr81pv8.pdf,"Kawasan Industri BIIE Hyundai Jl. Inti I Kav. 3 No. 3 Kelurahan Cibatu, Kecamatan Cikarang Selatan, Kabupaten Bekasi, Provinsi Jawa Barat 17550",https://storage.googleapis.com/assets.trading.stockbit.com/company/GUNA/logo/bjqi3qax30.png,Pengembangan
GOLF,PT Intra GolfLink Resorts Tbk,08 Jul 2024,Rp200,15.02%,"31,000,000 lot",0,IF - SAMUEL SEKURITAS INDONESIA,Barang Konsumen Non-Primer,Barang Rekreasi,"Bergerak Dalam Bidang Jasa Konsultasi Manajemen dan Pengelolaan Lapangan Golf, Pengembangan Properti",https://www.golflinkresorts.co.id/id,https://storage.googleapis.com/assets.trading.stockbit.com/company/GOLF/prospectus/b9g6nc5woc.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/GOLF/summary-prospectus/bl42rrzij2.pdf,"Desa Kadumanggu, Kecamatan Madang Bogor 16810 – Jawa Barat",https://storage.googleapis.com/assets.trading.stockbit.com/company/GOLF/logo/z5y5d69oy7.png,Utama
LABS,PT UBC Medical Indonesia Tbk,10 Jul 2024,Rp102,17.72%,"7,000,000 lot",0,YJ - LOTUS ANDALAN SEKURITAS,Kesehatan,Jasa & Peralatan Kesehatan,Distributor Alat Kesehatan,https://www.ubcindonesia.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/LABS/prospectus/35hg2br9p7.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/LABS/summary-prospectus/vtk98s5v6o.pdf,"Kawasan Industri Pulogadung, Jl. Rawagelam V, Blok L, No Kav 11-13, Kel. Jatinegara Kec. Cakung Jakarta Timur, Jakarta",https://storage.googleapis.com/assets.trading.stockbit.com/company/LABS/logo/98kykjb294.png,Pengembangan
ISEA,PT Indo American Seafoods Tbk,08 Jul 2024,Rp250,20.86%,"2,900,000 lot",2 : 1,CP - VALBURY SEKURITAS INDONESIA,Barang Konsumen Primer,Makanan & Minuman,"Industri Pembekuan Biota Air Lainnya, Industri Makanan dan Masakan Olahan, Industri Berbasis Daging",https://www.indoamericanseafoods.com/,https://storage.googleapis.com/assets.trading.stockbit.com/company/ISEA/prospectus/m2xf52p5xk.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/ISEA/summary-prospectus/ysfdsb75xu.pdf,"Jl. Ir. Sutami KM 13, Desa Sukanegara, Kecamatan Tanjung Bintang, Kabupaten Lampung Selatan, Provinsi Lampung, Indonesia – 35361.",https://storage.googleapis.com/assets.trading.stockbit.com/company/ISEA/logo/gymrg9n0mz.png,Pengembangan
PART,PT Cipta Perdana Lancar,05 Jul 2024,Rp105,25%,"6,800,000 lot",1 : 1,EP - MNC SEKURITAS,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,"Perseroan bergerak di bidang Manufaktur Komponen Suku Cadang Otomotif, Elektronik dan Sanitasi",https://www.ciptaperdanalancar.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/PART/prospectus/cat89pujj5.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/PART/summary-prospectus/99om301emq.pdf,"Jl. Prabu Siliwangi KM 0,5 Keroncong, Kec. Jatiuwung, Kota Tangerang Banten 15134",https://storage.googleapis.com/assets.trading.stockbit.com/company/PART/logo/htydj1ad9f.png,Pengembangan
BLES,PT Superior Prima Sukses Tbk,08 Jul 2024,Rp183,15.05%,"13,189,790 lot",0,YJ - LOTUS ANDALAN SEKURITAS,Barang Baku,Barang Baku,Industri Bata Ringan dan Semen Mortar,https://superiorprimasukses.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/BLES/prospectus/9uaz4dbcvr.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/BLES/summary-prospectus/21y52bz296.pdf,"Jl Raya Kupang Baru No 27, Dukuh Kupang, Dukuh Pakis, Surabaya Jawa Timur 60225",https://storage.googleapis.com/assets.trading.stockbit.com/company/BLES/logo/9ix7awga5m.png,Utama
SPRE,PT Soraya Berjaya Indonesia Tbk,03 Jul 2024,Rp125,30%,"2,400,000 lot",0,EP - MNC SEKURITAS,Barang Konsumen Non-Primer,Barang Rumah Tangga,industri dan perdagangan barang jadi keperluan rumah tangga,https://sorayaberjaya.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/SPRE/prospectus/91859gzi3a.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/SPRE/summary-prospectus/yzan37zt71.pdf,"Jl. Bandes, Keluarahan Aie Pacah, Kecamatan Koto Tangah, Kota Padang, Sumatera Barat 25176",https://storage.googleapis.com/assets.trading.stockbit.com/company/SPRE/logo/damqji059s.png,Akselerasi
BATR,PT Benteng Api Technic Tbk,10 Jun 2024,Rp110,20.5%,"6,200,000 lot",1 : 1,HD - KGI SEKURITAS INDONESIA,Barang Baku,Barang Baku,Manufaktur & Perdagangan produk Refraktori (Material Tahan Api) dan Insulasi Tahan Panas,https://bentengapi.com/,https://storage.googleapis.com/assets.trading.stockbit.com/company/BATR/prospectus/knl8ulkrx0.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/BATR/summary-prospectus/iqwc8l277s.pdf,"Jl. Kebraon II No. 103 A, Surabaya, Jawa Timur 60222",https://storage.googleapis.com/assets.trading.stockbit.com/company/BATR/logo/lrfyuqg6q0.png,Pengembangan
SOLA,PT Xolare RCR Energy Tbk,08 May 2024,Rp110,20%,"6,562,500 lot",0,AI - UOB KAY HIAN SEKURITAS,Barang Baku,Barang Baku,"Perdagangan Aspal, Industri Pengolahan Aspal dan Jasa Konstruksi",https://www.xolare.co.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/SOLA/prospectus/x15012l8k1.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/SOLA/summary-prospectus/sk4492lktj.pdf,"Gedung Plaza Simatupang Lt. 6, Jl. TB Simatupang Kav. IS No. 01 Pondok Pinang, Kebayoran Lama, Jakarta Selatan, DKI Jakarta 12310",https://storage.googleapis.com/assets.trading.stockbit.com/company/SOLA/logo/33iu9eh7b8.png,Pengembangan
DATA,PT Remala Abadi Tbk,07 May 2024,Rp188,20%,"2,750,000 lot",0,AI - UOB KAY HIAN SEKURITAS,Teknologi,Perangkat Lunak & Jasa TI,"Internet service provider, layanan konsultasi IT serta jaringan tetap berbasis kabel, jaringan teta",https://remala.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/DATA/prospectus/qsqpewarfx.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/DATA/summary-prospectus/yccz5gohl1.pdf,"Graha Mustika Ratu Jalan Gatot Subroto No.74-75, Jakarta Selatan DKI Jakarta 12870",https://storage.googleapis.com/assets.trading.stockbit.com/company/DATA/logo/p4c423idag.png,Pengembangan
